distance, drive speed, angle, turn rate, x, y
12.875, 0, 1.5141, 104, 9.358389090991825, 8.84229487302958
12.75, 0, 1.785, 102, 8.35531737375381, 21.55277665501083
13.5, 0, 3.19395, 108, -2.374488557353883, 29.74553349753742
13.0, 0, 2.9172, 104, -15.326424465247, 30.86238453408118
14.5, 0, 3.6366, 116, -29.69389328429585, 28.90640914219636
13.5, 0, 3.3812, 108, -42.29341182466705, 24.05850933394511
12.875, 0, 3.2754, 103, -54.94465407985211, 21.66859418887824
12.875, 0, 3.93975, 104, -66.44692966377423, 15.88384861180148
12.875, 0, 4.62985, 104, -71.78590966905633, 4.168008159525
12.875, 0, 4.80495, 103, -71.72139306151542, -8.706830193143798
12.875, 0, 4.223, 103, -74.25924452477235, -21.32922833891802
12.875, 0, 4.2539, 103, -80.13532542345457, -32.78511321404409
13.375, 0, 5.344650000000001, 107, -78.97468651036622, -46.10965982221899
12.875, 0, 4.99035, 104, -73.31532530084226, -57.67414233118305
13.5, 0, 4.941, 108, -69.93240778001229, -70.74341427139692
12.75, 0, 4.691999999999999, 102, -68.60738897984338, -83.42437737280207
12.75, 0, 5.0337, 103, -66.69624099699984, -96.03032887943867
13.25, 0, 5.3742, 107, -60.44220584335839, -107.7114908206591
12.875, 0, 6.1182, 104, -49.37930102062037, -114.2976704327742
12.75, 0, 6.339300000000001, 103, -36.64818677341007, -114.9913778815441
13.25, 0, 5.9943, 106, -23.48782472267076, -116.5300041173339
12.875, 0, 5.96885, 104, -11.19401030321817, -120.3546285459621
13.375, 0, 6.799849999999999, 108, 2.112606199741432, -119.003857564943
12.875, 0, 6.602299999999999, 104, 13.87967905601511, -113.7787622169951
12.75, 0, -0.204, 103, 1.150792633011859, -114.5122132584992
13.25, 0, -4.7859, 106, -9.424179819670679, -122.495474348117
12.75, 0, -4.396199999999999, 103, -10.96745831822173, -109.8392193145018
12.75, 0, 1.122, 102, -11.81221088700925, -122.5612039512449
12.875, 0, 3.13635, 104, -18.63353810742015, -111.6417204491702
12.875, 0, 2.96125, 104, -31.45314792633517, -110.448728793383
12.75, 0, 3.2793, 102, -44.20025096603569, -110.1769492958904
12.75, 0, 3.2079, 103, -56.88397341251473, -111.4752885815487
12.75, 0, 1.4127, 102, -65.4764700749564, -102.0555486113623
12.625, 0, 3.454200000000001, 102, -75.06605708519134, -93.84394426305532
13.25, 0, 3.657, 107, -87.19664537707523, -99.17417199672762
12.75, 0, 2.1522, 102, -99.59026292923415, -96.18072181828492
12.875, 0, 1.69435, 103, -104.0350367315363, -84.09727815158259
13.625, 0, 2.5179, 109, -110.9854729497258, -72.3784018668495
13.375, 0, 4.11415, 108, -124.1575101783414, -74.69962142733166
13.375, 0, -0.5885, 107, -126.710137898465, -61.57046620993643
12.75, 0, 0.459, 102, -113.9868561476179, -62.39545196045613
12.875, 0, 3.35265, 103, -118.2201078536121, -50.23629059983191
12.75, 0, 2.8356, 103, -130.9557465398403, -49.63130526625235
12.875, 0, 2.7489, 103, -143.0530696635412, -45.22444717450806
13.375, 0, 3.0067, 108, -155.9654018323162, -41.73699782531044
12.75, 0, 3.1977, 102, -168.7055105066383, -41.23487138061456
12.875, 0, 4.11485, 103, -179.9125431049623, -47.57269792763393
13.0, 0, 4.279649999999999, 104, -186.3170684776138, -58.88561332336917
13.125, 0, 4.530749999999999, 106, -190.2858113111361, -71.39619705560827
13.5, 0, 4.152600000000001, 109, -195.1766048540026, -83.97912749811869
12.875, 0, 3.7332, 104, -204.1346214759251, -93.22680629884266
12.75, 0, 4.9215, 102, -208.9234610845505, -105.043299653593
13.625, 0, 5.439100000000001, 110, -202.7782750270686, -117.2037812772348
12.875, 0, 2.9019, 103, -209.4186241062075, -128.2342567478199
12.75, 0, 3.3864, 103, -222.1685824135986, -128.2668628790091
12.75, 0, 2.7132, 103, -234.8649050627043, -127.0981494026584
13.125, 0, -1.68, 105, -223.4526709308735, -120.6153616442728
13.125, 0, -4.6305, 105, -236.5764468919839, -120.4361145450478
12.875, 0, -4.21785, 103, -240.2360411096056, -108.0921688564785
13.125, 0, 0.315, 105, -245.1120340318605, -120.2778292005928
12.75, 0, 3.1059, 102, -246.886836173227, -107.6519598301692
12.875, 0, 2.8531, 104, -259.5930671219205, -105.5741436500265
12.75, 0, -0.408, 102, -255.2421305364134, -93.5894930156152
13.125, 0, -3.417749999999999, 105, -259.644859931019, -105.954022884473
12.75, 0, -2.4072, 102, -272.0616663626973, -108.849781513612
13.125, 0, 0.9449999999999999, 105, -262.2908861774845, -117.6131986309386
12.75, 0, 3.1059, 102, -267.8900639213099, -106.1584306894633
12.875, 0, 3.2538, 103, -280.7556429873846, -106.6508738786555
12.875, 0, -0.5665, 103, -277.8562177930942, -94.10659396537573
13.375, 0, -3.7842, 107, -285.4584997798174, -105.1109537193253
12.75, 0, -3.0651, 102, -297.701126700714, -101.549972664091
12.75, 0, 0.612, 102, -293.3981633973547, -113.5519311213572
12.75, 0, 2.6775, 102, -294.3402134809545, -100.8367810380908
12.875, 0, 2.07545, 103, -303.6269622205724, -91.91927450054314
12.75, 0, -0.051, 102, -296.8697783497615, -81.10710699647376
13.25, 0, -1.7808, 106, -288.7995078051425, -91.61582877110723
12.875, 0, -1.48835, 104, -289.6201016343253, -104.4646517042598
13.125, 0, -0.5932500000000001, 106, -282.9850181276902, -115.789018876865
12.75, 0, -2.0961, 102, -280.1264772517125, -128.2144461958897
12.875, 0, -1.7595, 103, -284.6258829453305, -140.2776536219533
13.25, 0, -1.7914, 106, -287.3186549079514, -153.2511450239362
12.875, 0, 1.545, 103, -274.5412413017451, -154.8333354473473
13.0, 0, 3.4944, 105, -285.1073462189676, -147.2598668313005
13.0, 0, 2.678, 104, -298.0874070686348, -146.5401305331079
12.875, 0, 2.01365, 103, -307.0965152760573, -137.3422180358641
13.625, 0, 2.3326, 109, -314.8159344839249, -126.114965830039
12.75, 0, -0.5609999999999999, 103, -306.7493898557953, -116.2410933494773
12.875, 0, -1.0815, 103, -297.9775655492852, -125.6655680476087
13.25, 0, -1.3886, 107, -293.6120361494975, -138.1757500230873
12.75, 0, -1.6116, 102, -292.7114086388496, -150.8939012286307
12.75, 0, 0.303, 102, -282.5946132870341, -158.6536017260393
12.75, 0, 1.1781, 103, -273.1838690310642, -150.0512536425955
13.25, 0, 0.3885, 106, -263.7950667788926, -140.701767439086
12.75, 0, -0.408, 102, -251.0456727975292, -140.8260779695191
12.875, 0, -0.9638999999999999, 103, -241.0827704460819, -148.9812114286065
13.0, 0, -0.2652, 105, -230.4613415042078, -156.4768933343919
12.75, 0, 0.357, 103, -217.7247700600915, -155.8918738057266
12.875, 0, 0.7570499999999999, 103, -206.7960627175546, -149.085334242837
12.75, 0, -0.204, 103, -194.5304356052814, -145.6044016748794
12.75, 0, -0.9638999999999999, 102, -183.8932198020419, -152.6337785999924
13.125, 0, -0.48825, 106, -174.0785269900314, -161.3479871128678
12.625, 0, 0.0, 101, -161.8278684618744, -164.3995425566527
13.25, 0, -0.05300000000000001, 106, -148.582520595868, -164.7506264618404
12.75, 0, -0.2142, 103, -135.9461385680535, -166.4489636624944
13.0, 0, 0.156, 104, -122.9516424446422, -166.8272102733845
12.75, 0, 0.1071, 102, -110.3118053801933, -165.1547812063733
12.75, 0, -0.153, 102, -97.56516296125641, -165.4473680204272
13.125, 0, -0.11025, 106, -84.55369514110403, -167.169962042575
12.75, 0, -0.3264, 102, -72.10635955269066, -169.9315443334759
12.75, 0, -0.3383500000000001, 102, -60.05416611013846, -174.0917286110413
13.125, 0, 0.0, 105, -47.116538519249, -176.3015741530319
12.625, 0, 0.2121, 102, -34.56246618552715, -174.9652011363635
12.75, 0, 0.1173, 103, -21.98500445566212, -172.8747570606272
12.875, 0, 0.1224, 103, -9.202362218646259, -171.3353797707927
12.75, 0, 0.5558999999999999, 102, 2.82136959049722, -167.0936379844753
12.875, 0, 0.3708, 103, 14.33883276005245, -161.3391903882295
12.75, 0, -0.306, 102, 27.08214112546738, -160.926162660412
12.875, 0, -0.8568, 103, 37.84170906082583, -167.997041166256
13.5, 0, -1.2906, 108, 44.27952572046726, -179.8631490646717
12.875, 0, -1.9364, 103, 43.72988301857794, -192.7264113997195
12.75, 0, -2.5398, 102, 35.83928678411251, -202.7414496455096
12.75, 0, -3.1875, 102, 23.57860675210622, -206.2397671200626
12.875, 0, -3.1415, 103, 10.70698466010987, -205.9448608284519
